Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	MAG0355	PBL MEDIA PTY LTD.	MOTOR Magazine Australia	1.3.5	1F	4	0	04/17/2014	04/17/2014	NZD	NZ	NZD	639976688	0	 	 	 	 	Lifestyle
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	50	0	04/17/2014	04/17/2014	CNY	CN	CNY	622413964	0	 	 	 	 	Entertainment
APPLE	US	com.magshop.ns.cos.1312.1	 	Cosmopolitan 1312	 	IA1	1	3.81	04/17/2014	04/17/2014	AUD	AU	AUD	643554642	5.99	 	MAG0958	 	 	Lifestyle
APPLE	US	SKU_Bauer_TopGear	PBL MEDIA PTY LTD.	TopGear Australia Magazine	1.0.9	7T	1	0	04/17/2014	04/17/2014	EUR	NL	EUR	725842093	0	 	 	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.1month	 	GT Paid Subscription_200_30	 	IAY	1	0	04/17/2014	04/17/2014	AUD	AU	AUD	471832348	0	 	ACPGT001	New	1 Month	Food & Drink
APPLE	US	au.com.acpmagazines.awwrecipes.slowcooker	 	Slow Cooker	 	IA1	4	3.18	04/17/2014	04/17/2014	AUD	AU	AUD	394336008	4.99	 	ACP_AWW_Recipes	 	 	Food & Drink
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	11	0	04/17/2014	04/17/2014	USD	EG	USD	393065903	0	 	 	 	 	Food & Drink
APPLE	US	com.magshop.hmg.1405.1	 	Real Living 2014-05	 	IA1	1	4.54	04/17/2014	04/17/2014	NZD	NZ	NZD	802734345	6.49	 	MAG0001	 	 	Lifestyle
APPLE	US	com.magshop.ns.gme.1401.1	 	Good Health 1401	 	IA1	1	3.81	04/17/2014	04/17/2014	AUD	AU	AUD	738129884	5.99	 	MAG0253	 	 	Health & Fitness
APPLE	US	MAG0410.1	PBL MEDIA PTY LTD.	Real Living Australia	1.3.8	1F	5	0	04/17/2014	04/17/2014	CNY	CN	CNY	823384894	0	 	 	 	 	Lifestyle
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	7F	1	0	04/17/2014	04/17/2014	ZAR	ZA	ZAR	574676839	0	 	 	 	 	Food & Drink
APPLE	US	SKU_Bauer_Indulge	PBL MEDIA PTY LTD.	Indulge 享受	1.0.4	1T	1	0	04/17/2014	04/17/2014	CNY	CN	CNY	749474890	0	 	 	 	 	Travel
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	1T	3	0	04/17/2014	04/17/2014	CAD	CA	CAD	393065903	0	 	 	 	 	Food & Drink
APPLE	US	MAG0031	PBL MEDIA PTY LTD.	Australasian Dirt Bike Magazine	1.3.5	1F	1	0	04/17/2014	04/17/2014	JPY	JP	JPY	639973451	0	 	 	 	 	Sports
APPLE	US	com.magshop.ns.gme.months.12.1	 	Good Health Subscription_600_365	 	IAY	1	0	04/17/2014	04/17/2014	AUD	AU	AUD	575094513	0	 	MAG0253	New	1 Year	Health & Fitness
APPLE	US	MAG0132	PBL MEDIA PTY LTD.	Cleo Magazine Australia	1.3.8	1F	1	0	04/17/2014	04/17/2014	SEK	SE	SEK	813461450	0	 	 	 	 	Lifestyle
APPLE	US	MAG2068	PBL MEDIA PTY LTD.	Women's Fitness Magazine Australia	1.3.5	1F	1	0	04/17/2014	04/17/2014	ILS	IL	ILS	639975696	0	 	 	 	 	Health & Fitness
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	1	0	04/17/2014	04/17/2014	JPY	JP	JPY	823254501	0	 	 	 	 	Lifestyle
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	7T	1	0	04/17/2014	04/17/2014	USD	KR	USD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.11	7T	2	0	04/17/2014	04/17/2014	EUR	IE	EUR	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	MAG0559	PBL MEDIA PTY LTD.	HOME Magazine NZ	1.3.8	1F	1	0	04/17/2014	04/17/2014	EUR	ES	EUR	817999055	0	 	 	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.aww.subscriptions.6months	 	AWW Paid Subscription_500_180	 	IAY	1	7.3	04/17/2014	04/17/2014	GBP	GB	GBP	471821269	11.99	 	ACP003	Renewal	6 Months	Entertainment
APPLE	US	MAG0067	PBL MEDIA PTY LTD.	Australian Motorcycle News	1.3.5	1F	1	0	04/17/2014	04/17/2014	USD	PE	USD	598117425	0	 	 	 	 	Sports
APPLE	US	MAG0352	PBL MEDIA PTY LTD.	Money Magazine Australia	1.3.5	1F	1	0	04/17/2014	04/17/2014	USD	US	USD	574683215	0	 	 	 	 	Finance
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.11	1T	1	0	04/17/2014	04/17/2014	ZAR	ZA	ZAR	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	com.magshop.ns.zoo.1340.1	 	ZOO Weekly 1340	 	IA1	1	2.1	04/17/2014	04/17/2014	USD	US	USD	664941154	2.99	 	MAG0553	 	 	Entertainment
APPLE	US	com.magshop.ns.gme.1405.1	 	Good Health 1405	 	IA1	5	3.81	04/17/2014	04/17/2014	AUD	AU	AUD	775562518	5.99	 	MAG0253	 	 	Health & Fitness
